Current Attendence Sheet Data of SOC22513  |  All Type


-,2019-07-29-13:00:00-Lect-2H-ng,2019-07-31-13:00:00-Lect-1H-ng,2019-08-05-13:00:00-Lect-2H-ng,2019-08-19-13:00:00-Lect-2H-ng,2019-08-21-13:00:00-Lect-1H-ng,2019-12-09-13:00:00-Lect-2H-ng,2019-12-16-13:00:00-Lect-2H-ng,2019-12-18-11:00:00-Lect-1H-ng,2019-12-23-13:00:00-Lect-2H-ng,2019-12-30-13:00:00-Lect-2H-ng,2020-01-01-13:00:00-Lect-2H-ng,2020-01-06-13:00:00-Lect-1H-ng,2020-01-08-13:00:00-Lect-1H-ng,2020-01-13-13:00:00-Lect-2H-ng,2020-01-20-14:00:00-Lect-1H-ng,2020-01-22-13:00:00-Lect-1H-ng,2020-01-27-13:00:00-Lect-2H-ng,2020-02-17-13:00:00-Lect-2H-ng,%
HS/2017/16510,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,83 %,
HS/2017/16513,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2017/16517,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,86 %,
HS/2017/16519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16522,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,86 %,
HS/2017/16524,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16529,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16537,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16543,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2017/16545,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2017/16550,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16551,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2017/16554,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16561,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16562,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,86 %,
HS/2017/16563,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16564,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2017/16570,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2017/16576,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2017/16578,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,79 %,
HS/2017/16579,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,83 %,
HS/2017/16584,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2017/16589,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2017/16592,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,93 %,
HS/2017/16594,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2017/16595,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,69 %,
HS/2017/16596,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,66 %,
HS/2017/16603,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2017/16605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
Total,31,64,78,92,62,76,94,92,82,90,89,92,90,92,88,92,89,86,
